"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ACLBSL","2025-08-24","1070","1157","1070","1086.97","1.56 %","1,212.00"
"ADBL","2025-08-24","330.9","330.9","326","326.2","-0.93 %","50,565.00"
"ADBLD83","2025-08-24","1071.6","1071.6","1071.5","1071.5","-1.72 %","60.00"
"AHL","2025-08-24","630.1","646.7","624","633.61","-1.12 %","3,905.00"
"AHPC","2025-08-24","289","299.7","289","290.89","-1.36 %","157,154.00"
"AKJCL","2025-08-24","203.5","207","203.5","203.78","-0.65 %","53,345.00"
"AKPL","2025-08-24","257.1","262","255","255.89","-0.63 %","113,831.00"
"ALBSL","2025-08-24","966.3","985.9","966.3","981.58","-0.16 %","12,971.00"
"ALICL","2025-08-24","478.8","489.9","478.8","486.1","-0.51 %","27,800.00"
"ANLB","2025-08-24","5751.1","5831.9","5750","5770.52","-1.08 %","289.00"
"API","2025-08-24","287.1","296","287.1","291.03","-0.65 %","91,001.00"
"AVYAN","2025-08-24","1044","1044","1007","1022.11","-0.17 %","2,710.00"
"BANKING","2025-08-24","1435.23","1439.39","1420.86","1422.48","-0.89 %","497,521,018.20"
"BARUN","2025-08-24","369.8","369.8","354","355.57","-2.29 %","62,759.00"
"BBC","2025-08-24","5409.5","5409.6","5302","5308.32","-0.25 %","520.00"
"BEDC","2025-08-24","745.2","745.2","708","716.24","-1.97 %","8,801.00"
"BFC","2025-08-24","495","503","490","492.79","-1.31 %","13,099.00"
"BGWT","2025-08-24","915","915","900","900.22","-0.53 %","4,193.00"
"BHCL","2025-08-24","346.8","388.7","346.8","388.7","9.99 %","545.00"
"BHDC","2025-08-24","596.7","596.7","570.2","574.84","-1.74 %","33,808.00"
"BHL","2025-08-24","202","202","197","197.31","-1.14 %","207,247.00"
"BHPL","2025-08-24","801.4","814.8","770","774.69","-1.40 %","3,589.00"
"BNHC","2025-08-24","519","530","518","519","-0.42 %","13,197.00"
"BNT","2025-08-24","12100","12100","12000","12100","-0.10 %","167.00"
"BOKD86","2025-08-24","1032.2","1052","1032.2","1052","0.00 %","50.00"
"BPCL","2025-08-24","820","831","800","804.94","-2.55 %","169,085.00"
"C30MF","2025-08-24","10.08","10.28","10","10.09","-0.10 %","282,510.00"
"CBBL","2025-08-24","1055","1080","1053","1060.93","1.14 %","51,592.00"
